date,new_confirmed,new_untracked,new_no_paths,is_holiday,is_weekend,gov_policy
2020-01-24,1,0,,1,1,0
2020-01-25,0,0,0.0,1,1,0
2020-01-26,0,0,0.0,1,1,0
2020-01-27,0,0,0.0,0,0,0
2020-01-28,0,0,0.0,0,0,0
2020-01-29,0,0,0.0,0,0,0
2020-01-30,3,0,1.0,0,0,0
2020-01-31,3,0,2.0,0,1,0
2020-02-01,0,0,0.0,0,1,0
2020-02-02,1,0,0.0,0,1,0
2020-02-03,0,0,0.0,0,0,0
2020-02-04,0,0,0.0,0,0,0
2020-02-05,2,0,0.0,0,0,0
2020-02-06,1,0,0.0,0,0,0
2020-02-07,1,0,0.0,0,1,0
2020-02-08,0,0,0.0,0,1,0
2020-02-09,0,0,0.0,0,1,0
2020-02-10,0,0,0.0,0,0,0
2020-02-11,0,0,0.0,0,0,0
2020-02-12,0,0,0.0,0,0,0
2020-02-13,0,0,0.0,0,0,0
2020-02-14,0,0,0.0,0,1,0
2020-02-15,0,0,0.0,0,1,0
2020-02-16,2,0,2.0,0,1,0
2020-02-17,0,0,0.0,0,0,0
2020-02-18,0,0,0.0,0,0,0
2020-02-19,2,0,2.0,0,0,0
2020-02-20,5,0,4.0,0,0,0
2020-02-21,2,0,2.0,0,1,0
2020-02-22,4,0,2.0,0,1,0
2020-02-23,4,0,1.0,0,1,0
2020-02-24,4,0,1.0,0,0,0
2020-02-25,16,6,8.0,0,0,0
2020-02-26,10,1,1.0,0,0,0
2020-02-27,13,2,4.0,0,0,0
2020-02-28,8,2,3.0,0,1,0
2020-02-29,5,0,1.0,0,1,0
2020-03-01,6,0,2.0,1,1,0
2020-03-02,6,2,0.0,0,0,0
2020-03-03,1,0,1.0,0,0,0
2020-03-04,5,1,1.0,0,0,0
2020-03-05,1,1,0.0,0,0,0
2020-03-06,7,0,4.0,0,1,0
2020-03-07,7,0,5.0,0,1,0
2020-03-08,10,0,3.0,0,1,0
2020-03-09,26,3,1.0,0,0,0
2020-03-10,46,0,3.0,0,0,0
2020-03-11,17,4,0.0,0,0,0
2020-03-12,12,1,1.0,0,0,0
2020-03-13,9,1,1.0,0,1,0
2020-03-14,8,1,3.0,0,1,0
2020-03-15,6,1,2.0,0,1,0
2020-03-16,13,5,1.0,0,0,0
2020-03-17,4,0,0.0,0,0,0
2020-03-18,11,2,0.0,0,0,0
2020-03-19,17,1,2.0,0,0,0
2020-03-20,17,1,4.0,0,1,0
2020-03-21,8,0,3.0,0,1,0
2020-03-22,6,0,1.0,0,1,0
2020-03-23,5,1,0.0,0,0,0
2020-03-24,14,0,3.0,0,0,0
2020-03-25,13,1,1.0,0,0,0
2020-03-26,14,0,2.0,0,0,0
2020-03-27,15,0,0.0,0,1,0
2020-03-28,22,0,2.0,0,1,0
2020-03-29,22,1,2.0,0,1,0
2020-03-30,19,0,2.0,0,0,0
2020-03-31,24,1,0.0,0,0,0
2020-04-01,16,0,0.0,0,0,0
2020-04-02,19,0,1.0,0,0,0
2020-04-03,20,2,4.0,0,1,0
2020-04-04,19,0,7.0,0,1,0
2020-04-05,11,1,0.0,0,1,0
2020-04-06,8,1,1.0,0,0,0
2020-04-07,10,2,0.0,0,0,0
2020-04-08,11,1,2.0,0,0,0
2020-04-09,5,1,1.0,0,0,0
2020-04-10,3,0,1.0,0,1,0
2020-04-11,2,0,1.0,0,1,0
2020-04-12,8,0,1.0,0,1,0
2020-04-13,3,0,0.0,0,0,0
2020-04-14,5,0,1.0,0,0,0
2020-04-15,1,0,0.0,0,0,0
2020-04-16,2,0,1.0,0,0,0
2020-04-17,2,0,0.0,0,1,0
2020-04-18,1,0,0.0,0,1,0
2020-04-19,1,1,0.0,0,1,0
2020-04-20,1,0,0.0,0,0,0
2020-04-21,2,0,0.0,0,0,0
2020-04-22,0,0,0.0,0,0,0
2020-04-23,0,0,0.0,0,0,0
2020-04-24,1,0,0.0,0,1,0
2020-04-25,0,0,0.0,0,1,0
2020-04-26,0,0,0.0,0,1,0
2020-04-27,4,0,0.0,0,0,0
2020-04-28,0,0,0.0,0,0,0
2020-04-29,0,0,0.0,0,0,0
2020-04-30,1,0,0.0,1,0,0
2020-05-01,1,0,0.0,0,1,0
2020-05-02,2,0,0.0,0,1,0
2020-05-03,0,0,0.0,0,1,0
2020-05-04,0,0,0.0,0,0,0
2020-05-05,0,0,0.0,1,0,0
2020-05-06,0,0,0.0,0,0,0
2020-05-07,0,0,0.0,0,0,0
2020-05-08,13,0,1.0,0,1,0
2020-05-09,18,0,0.0,0,1,0
2020-05-10,20,0,0.0,0,1,0
2020-05-11,12,0,0.0,0,0,0
2020-05-12,8,0,0.0,0,0,0
2020-05-13,5,0,0.0,0,0,0
2020-05-14,12,0,0.0,0,0,0
2020-05-15,6,1,0.0,0,1,0
2020-05-16,4,0,0.0,0,1,0
2020-05-17,1,0,0.0,0,1,0
2020-05-18,7,0,2.0,0,0,0
2020-05-19,9,0,0.0,0,0,0
2020-05-20,4,0,1.0,0,0,0
2020-05-21,3,0,0.0,0,0,0
2020-05-22,3,0,0.0,0,1,0
2020-05-23,6,0,1.0,0,1,0
2020-05-24,7,1,0.0,0,1,0
2020-05-25,8,0,1.0,0,0,0
2020-05-26,19,3,3.0,0,0,0
2020-05-27,25,3,0.0,0,0,0
2020-05-28,19,1,2.0,0,0,0
2020-05-29,9,2,1.0,0,1,0
2020-05-30,6,1,0.0,0,1,0
2020-05-31,1,0,0.0,0,1,0
2020-06-01,14,2,2.0,0,0,0
2020-06-02,20,2,3.0,0,0,0
2020-06-03,14,3,0.0,0,0,0
2020-06-04,15,2,2.0,0,0,0
2020-06-05,27,2,0.0,0,1,0
2020-06-06,29,4,0.0,1,1,0
2020-06-07,15,3,0.0,0,1,0
2020-06-08,18,3,0.0,0,0,0
2020-06-09,14,3,0.0,0,0,0
2020-06-10,19,3,1.0,0,0,0
2020-06-11,25,3,1.0,0,0,0
2020-06-12,30,7,0.0,0,1,0
2020-06-13,12,3,0.0,0,1,0
2020-06-14,7,3,0.0,0,1,0
2020-06-15,11,1,0.0,0,0,0
2020-06-16,14,2,4.0,0,0,0
2020-06-17,24,3,2.0,0,0,0
2020-06-18,18,4,2.0,0,0,0
2020-06-19,16,2,4.0,0,1,0
2020-06-20,15,2,1.0,0,1,0
2020-06-21,8,2,1.0,0,1,0
2020-06-22,4,1,1.0,0,0,0
2020-06-23,10,3,2.0,0,0,0
2020-06-24,9,3,1.0,0,0,0
2020-06-25,17,1,5.0,0,0,0
2020-06-26,17,0,0.0,0,1,0
2020-06-27,14,2,1.0,0,1,0
2020-06-28,7,1,1.0,0,1,0
2020-06-29,8,3,0.0,0,0,0
2020-06-30,9,2,2.0,0,0,0
2020-07-01,13,5,1.0,0,0,0
2020-07-02,11,2,2.0,0,0,0
2020-07-03,7,1,2.0,0,1,0
2020-07-04,16,0,2.0,0,1,0
2020-07-05,3,0,0.0,0,1,0
2020-07-06,3,2,0.0,0,0,0
2020-07-07,10,3,1.0,0,0,0
2020-07-08,8,0,1.0,0,0,0
2020-07-09,8,2,2.0,0,0,0
2020-07-10,8,2,0.0,0,1,0
2020-07-11,7,1,2.0,0,1,0
2020-07-12,13,1,2.0,0,1,0
2020-07-13,7,1,1.0,0,0,0
2020-07-14,6,1,0.0,0,0,0
2020-07-15,7,3,0.0,0,0,0
2020-07-16,9,2,0.0,0,0,0
2020-07-17,6,1,0.0,0,1,0
2020-07-18,10,1,2.0,0,1,0
2020-07-19,3,0,2.0,0,1,0
2020-07-20,21,2,1.0,0,0,0
2020-07-21,17,4,0.0,0,0,0
2020-07-22,11,1,3.0,0,0,0
2020-07-23,21,2,1.0,0,0,0
2020-07-24,11,1,0.0,0,1,0
2020-07-25,7,2,1.0,0,1,0
2020-07-26,9,1,0.0,0,1,0
2020-07-27,6,1,0.0,0,0,0
2020-07-28,9,3,1.0,0,0,0
2020-07-29,3,1,0.0,0,0,0
2020-07-30,9,1,2.0,0,0,0
2020-07-31,2,2,0.0,0,1,0
2020-08-01,4,0,0.0,0,1,0
2020-08-02,5,1,0.0,0,1,0
2020-08-03,9,2,2.0,0,0,0
2020-08-04,6,0,1.0,0,0,0
2020-08-05,9,2,1.0,0,0,0
2020-08-06,9,2,1.0,0,0,0
2020-08-07,17,5,3.0,0,1,0
2020-08-08,13,1,2.0,0,1,0
2020-08-09,13,3,1.0,0,1,0
2020-08-10,6,1,0.0,0,0,0
2020-08-11,15,4,1.0,0,0,0
2020-08-12,26,5,5.0,0,0,0
2020-08-13,33,1,7.0,0,0,0
2020-08-14,73,4,7.0,0,1,0
2020-08-15,146,6,7.0,1,1,0
2020-08-16,91,4,7.0,0,1,2
2020-08-17,132,7,5.0,0,0,2
2020-08-18,151,18,6.0,0,0,2
2020-08-19,135,19,20.0,0,0,3
2020-08-20,126,28,21.0,0,0,3
2020-08-21,128,32,24.0,0,1,3
2020-08-22,143,44,28.0,0,1,3
2020-08-23,98,25,26.0,0,1,3
2020-08-24,136,45,33.0,0,0,3
2020-08-25,116,35,26.0,0,0,3
2020-08-26,157,44,31.0,0,0,3
2020-08-27,160,38,38.0,0,0,3
2020-08-28,118,34,35.0,0,1,3
2020-08-29,167,23,34.0,0,1,3
2020-08-30,70,17,18.0,0,1,3
2020-08-31,104,18,24.0,0,0,3
2020-09-01,87,20,17.0,0,0,3
2020-09-02,64,12,18.0,0,0,3
2020-09-03,46,6,11.0,0,0,3
2020-09-04,55,6,19.0,0,1,3
2020-09-05,58,19,12.0,0,1,3
2020-09-06,44,13,10.0,0,1,3
2020-09-07,76,19,20.0,0,0,3
2020-09-08,30,11,9.0,0,0,3
2020-09-09,47,9,11.0,0,0,3
2020-09-10,63,12,16.0,0,0,3
